puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,Riot_ID,updated_at
aIbr6wA-uIC7TKTyrCoNXQdklatJOy7JZcPlKhye6CsInFb_a3IdKDMdmNxCeQ_xFpJqpHiMl4rKXQ,2006,I,261,125,True,False,False,True,Fer#41fer,2026-01-23 20:35:17.108520+07:00
gDS_RXL2uVslEPIcN_A8AVyv6gDSAEWb3dwYsV8ofJXEKVEJpvT2hykvUIg6cJmLmJu_VU1akJ_jKw,1979,I,293,112,True,False,False,True,Eggy#6142,2026-01-23 20:35:17.108520+07:00
x13cEumQNek2mzLebII6fYK-VQ7iHKLws7YvPlbrWQ0TWUnXxW29JxiGpD9342uBCu5ip0I-RBwSqQ,1779,I,453,231,True,False,False,False,Nanande#nana,2026-01-23 20:35:17.108520+07:00
14IIPePAeml4zuSMfE6L4ZeOsFubGK3MCmZE7JX_vxX_u60uyKlQIIeLuux3YRXo3Y5JIdY4nyUsHQ,1654,I,285,124,True,False,False,True,ARaye#Rawyr,2026-01-23 20:35:17.108520+07:00
rF7pPnd6Y70yDZHOhsiJXw_K6LhwR-OG1058e4pzirzuuQl18en0bN-3xD2-1HJKk1Pqpe_x01jTQw,1605,I,326,186,True,False,False,True,Enif#SEA,2026-01-23 20:35:17.108520+07:00
LOZXtiOOJOowiev9UHNv7XJ5d3m268S7GyU2K19rf3ZmQgtyabvX0Eh5joLpfhAYSq2g_8I8mP5pdg,1517,I,393,195,True,False,False,False,mald#tft,2026-01-23 20:35:17.108520+07:00
S1y6zj-N_jmCqxP3WiGPtnEhIZMm1rSr3f6ft94vtJ2oKObwnfrA12wg44v3_OvEXdj5eJ2AiBU0NA,1500,I,222,101,True,False,False,False,masianiverson#xdd,2026-01-23 20:35:17.108520+07:00
_M9CtULqij_I3Cjw5Kbzl4dh48ZEgsOQQ0pd-W32HcT7r0I0iHKHmObg9COsMGfWy_c1Lb_fvLi8zA,1495,I,218,128,True,False,False,False,FS Boomhae#0901,2026-01-23 20:35:17.108520+07:00
V_HDEimGgGYRyR632PNqZBUUw3EHl0U3YYyfP6k9s7F3a8-bPkkN7Del-5odV5D7VwlaJnlfXRoiMA,1490,I,302,167,True,False,False,True,Pai#phpai,2026-01-23 20:35:17.108520+07:00
sIGOZ9DnVqhqkYltynlYFf6Mc-K2BYvhoJ09e0vXfeY76ntfmNq66_S_Tif_bDreckyhXTvj7MXiWQ,1435,I,317,197,True,False,False,True,Mulberry#ketsu,2026-01-23 20:35:17.108520+07:00
Q2kiTnBK9Ob__FHZkOZGhfvp3UOIXVdKz90VsclIamYV151aGoDixYip1oMx37sZAvEezpg3WWsceA,1433,I,461,267,True,False,False,False,BBTY#300,2026-01-23 20:35:17.108520+07:00
u3t1CxmEcorlNuv4Wf8KBMwma_NNcNujXUsMMx2esX2Zc4kMOaQTTT6tzy2UBd0RFbEgRxSProqSVw,1369,I,302,212,True,False,False,False,Atomic#SG3,2026-01-23 20:35:17.108520+07:00
8xtcab4066AaNOKbYo34yywmm-vLFhaDsgPtriU_AZsdOeOn2JdC1zPOcZxHieNuaVk9DEqat4iReQ,1359,I,302,218,False,False,True,False,FuuTime#xdd,2026-01-23 20:35:17.108520+07:00
7-ef3RSWywaJDvSv4XQsPQz945sUi4sfS4vDKBMWxnwohjD3nfQSD8RI7jepJUctWw0MVxdZOKNgWg,1358,I,184,101,False,False,False,False,bllade#99999,2026-01-23 20:35:17.108520+07:00
XrQvTVdnprJF2JTrsMDUMxiRWoXqh2v1IrwQZoUDcw0MYkVS7rwKEVF_-caKBT0yV31_rc1MEF-N8w,1341,I,345,246,False,False,False,True,WINNYS#WNYS,2026-01-23 20:35:17.108520+07:00
HwDcYLydIRkb3OGwzIBBeWTcltTVkIWRVxbIrquIqAma8DXxWxZBzDOcegjEngN-DMyd3ZnLNMTI1Q,1340,I,230,158,False,False,True,False,tokyosniper#dump2,2026-01-23 20:35:17.108520+07:00
zlAWnFkrFYWVTLW5OxWxUI1nJLw0qO1tuICtuDIccVSTO43s1F3LhraZk1-Inmc9zMGGZ05AW9TGfQ,1319,I,370,292,False,False,False,False,TaNTaNCE#3443,2026-01-23 20:35:17.108520+07:00
Mhawv3yZdFR4G8huny8zSaRmzvErIWGE4-i5-49D8S40FauOWdsiby64aywU4O_TZdCyzGKu2y_rfQ,1306,I,260,197,False,False,False,False,a21#SEA,2026-01-23 20:35:17.108520+07:00
I7tSP-bG8Jar2NU9-QS_csC-4SeO297MmFO4_otO_TAm8DYgRvtpiZjB3-xfDspjKZv1r7oyLEYlJw,1306,I,163,79,False,False,False,False,outboxer009#333,2026-01-23 20:35:17.108520+07:00
Jb_M5HiPa0cKzpwLNw8Ro9QYLMyPsNEhvxk8XYKCivO-owbSrAc1D86tdJHSNN07OdQa7rxgnASMXg,1300,I,240,163,False,False,False,False,Pencil#xdd,2026-01-23 20:35:17.108520+07:00
hwBlcjZFwqC8f0fBnBa-be63N04EpYoQwZGL_2MqeoR35KFH2Y8s89ENcDdGxml9iT0ClLE08iWHvw,1294,I,276,171,True,False,False,False,Kjaos#four,2026-01-23 20:35:17.108520+07:00
nqTelHUs-BmzKaPto4FW0CrrFmVAjNUzZOEPAyr561xUCV-uhLUaMiew-_GDgHl92n1SZnz3_RenNA,1281,I,252,168,False,False,True,False,mashimomo#971,2026-01-23 20:35:17.108520+07:00
9izfCPMejo-0TI8IOI6qDcKRz2t75YPru1H7MABWGB4622Rk6vFi4REY31JCLqrpH156ZHTIjOtwcg,1279,I,359,272,True,False,False,True,paragon#Wish,2026-01-23 20:35:17.108520+07:00
CP54-BWyY7PIEdzJTthPN3TeU3qYTazeIf29Cc84Ii8KAhk2J0q5Y86wrG3cOhquG2neAIljkMSc8A,1279,I,240,162,False,False,False,False,jerryK#idk,2026-01-23 20:35:17.108520+07:00
co6S0me5NhGep4IeJfgFqJ2y9nyUy25pVj0BKGtlsNy9o33d9VlDi1amIvoZmjeOEAta1DQSJ9gIJg,1255,I,262,165,True,False,False,False,Disbenefit#boop,2026-01-23 20:35:17.108520+07:00
WQEBRvBDn0Baos2UGk9vzo30O0AdeE_FcaVL1t2tlGxMq8yZFi9zQZ8K572SKY6vUSGjG5WHXPQVjg,1253,I,323,236,False,False,False,True,Aofnakup#1991,2026-01-23 20:35:17.108520+07:00
FqpN8LIo2sGfBYHyCixaW8k6q6qp5LRmKUwfqkTgDfTEp3_VEOYwj9voWHgVrX8jY0Jwuf0KJzZbUQ,1244,I,342,255,False,False,True,False,memebuster99#6071,2026-01-23 20:35:17.108520+07:00
_BkRJq3tdLec-ryXmv8HYkIQcruPrpwHMMJqmZ7FM50A8l3w_YpZ2YhTnO04LUf3unJwiBa-Aijr2w,1234,I,411,304,False,False,True,False,Maha#YAWA,2026-01-23 20:35:17.108520+07:00
pbYdEM53JcEAmndVOrpnsXJbl7GxlBTgoJ-b2N3AsVmZWDWVj1bKiOsRr2s0ylujTmW-kOrsZZhbBQ,1228,I,202,132,False,False,True,True,SunRise#Shiny,2026-01-23 20:35:17.108520+07:00
OX9t0WAW97FLFOcr1l-4L2AlRtPZ7eerU29E7hosR8iiyRxhzVXJrmRuIbUqIRywXu1MnnxAVfmZaw,1227,I,292,199,True,False,False,False,Kaiser55#9050,2026-01-23 20:35:17.108520+07:00
ofY_0GTEjP_FHH1VANbLgMtKmKDIl5NmBnnT8F0IwHf0gk8FaJyMueEjqeuw4TOGmuwGmWQ-BVrY0Q,1223,I,284,222,False,False,False,False,jail#SG2,2026-01-23 20:35:17.108520+07:00
gDFwB7VpJ0KklJRh2W6VtxNTDEv4Y_HQNJAoOa2KwQkTu3b0LaUwhVXQn6elrV6LSV8xsH1IfIONRw,1222,I,126,58,False,False,True,False,iheartristan#duck,2026-01-23 20:35:17.108520+07:00
WQ8Ijfkxn0GMKPQUy2EDTOc8JUccezQFH1Tp4pNaQJJMRo5JYty5lAPzwyuODKoCaxYfNo0yQxWRIA,1216,I,303,189,True,False,False,False,PieceOfSheep#SG2,2026-01-23 20:35:17.108520+07:00
SIwigk7wBNQ2UBiACAzxsa1oxiG3r-FGM8hfjlIdl6-ZzbICDQfjHgdjOoZ9NFhwglq5mgaCQpf8jg,1206,I,318,251,False,False,True,True,Bwakies#4638,2026-01-23 20:35:17.108520+07:00
SAempvmqOFivF3G5RapsA3hF60xv1MpR_h_SlShDoDWSbMrJgF4YmuhqFMuAjKNgJ-7WrK0ZLSDr2A,1206,I,291,199,False,False,True,False,potatodoggy#SG3,2026-01-23 20:35:17.108520+07:00
P7Bg4HqvX4u_8RmLlOzZ-HzskvtKnwvrXX8f9H0vSTw4--GvP4tdsKScaQpcyGv9ZkfgJTAGENnhYQ,1203,I,350,295,False,False,True,False,Reverie#byou,2026-01-23 20:35:17.108520+07:00
ZCAjLRiUB-pd3pusrD5tD8Teb-dQTuFXeTteIJdR3td7eitJvfzKrrQqc5x_mN6H0wEoS7k43WM-QQ,1196,I,117,49,False,False,True,True,Houston3001#9594,2026-01-23 20:35:17.108520+07:00
xhH1upTjZyVT9ahEMGzKZXw9ikZ479Uy_UNdK2SB5LuGIa_PcZPFkb-XQuvAjGCqH9ZmN253b1G62g,1187,I,170,105,False,False,True,False,7yD#DDDD,2026-01-23 20:35:17.108520+07:00
X9kmN_xYGVgdLYl2JxP_Bh1abnGATdudqSmRemM6W9YecpndB1RqfRFmsT43ovf43qomuhQuXXI6DQ,1182,I,286,205,False,False,True,False,ipw#uuuu,2026-01-23 20:35:17.108520+07:00
zPFCC1h0W9DaLG_esDcxUrmAdnL1GDrLyxyTxYKJvPiUv6wpQVxLi1SfR-jorgLRyQaF6YGoO_GlNg,1181,I,214,126,False,False,False,False,grog#123,2026-01-23 20:35:17.108520+07:00
szibDJPPma654Cl20bTksQ7CtLJrcBQRJJvLh0QiVbBYGvRbdr7Hzk4gb3PyqSu7IyikCvQThYk6yw,1180,I,306,223,False,False,True,False,Jizun#6848,2026-01-23 20:35:17.108520+07:00
pS00u9CV4tk8k02Ze3k2uaiEKo1KzPTATfcoSEXADJlO8laQcUQMFMcj50RjrVUCtsn0G8D3y6IliQ,1177,I,176,107,False,False,True,True,AMQ paradice#428,2026-01-23 20:35:17.108520+07:00
4H1KNELz5F-xjjUu17QOu-3Yu6-f3-hIFbDoMX6hgYHvQORieMew_ikGjMGn5iPKk3mNHTlmg7ZoZA,1158,I,365,292,False,False,True,False,hanni pham#raph,2026-01-23 20:35:17.108520+07:00
8HJs5svT6YvA3-6a67qcGczdXpgvklMU3TiI8aftTsV_mIO2z_Uw9LNvI9JSaTidx--_s1KbFkO34g,1149,I,141,90,False,False,True,True,FindOut#SG2,2026-01-23 20:35:17.108520+07:00
0igqo3RN7dcbnYucXvIGWe1v20cCy7UbIwwa2WXPgO-xbfeFhml2FNy4AAlT_BsriDA3ClycNFh-aw,1140,I,258,186,False,False,True,True,OBE Twift#009,2026-01-23 20:35:17.108520+07:00
RQfttUFwRgREnBPdhcxTtN6UBqxnji6iTnz80T3R1ZmiRyV2Caig7fqnsyLDf_-pi_HOsf6LEEIdig,1133,I,267,192,False,False,True,False,FS Foeman#bundd,2026-01-23 20:35:17.108520+07:00
fnlKrwOnalwfwCG0pD6_9MbvapzwekE2B11s1ExP8X9M0ADNCJcrjV-lIcoxCnwNi7w__Ub3FNQbyQ,1110,I,250,179,False,False,True,False,teeoftea#SG2,2026-01-23 20:35:17.108520+07:00
nsJ9ahyPtNa07DKrAhWSl5QeVi7WEOTDfjQ-fZM7NM93Wr-CYhOyedcO8jmC1UGQrUvWu1Bf8B2YoA,1108,I,306,202,False,False,True,False,N4IKZY#7452,2026-01-23 20:35:17.108520+07:00
PlPP_YTQcadZg0HncxOL7aK03qYR8Y0cpB9L2w9SlhB5UrdVuiBF54UKfXj7CCKM_zNp3A_2UgAekg,1071,I,413,317,True,False,False,False,MelAmz#1234,2026-01-23 20:35:17.108520+07:00
vztPRJLNtzgGy2keaRHWbNPXc13KslG_aQcl2MkPXuyhU3LMlqshZ2h_VLLDPq3h22ct71oEBmuD1Q,1011,I,220,149,False,False,True,False,Sinister#bgt,2026-01-23 20:35:17.108520+07:00
